,Mes,Dia,Anio,Evaporacion,Calor,Precipitacion,TempMax,TempMin,TempProm
346,1,13,1923,,7.85,0.0,26.2,9.4,17.8
347,1,14,1923,,7.51,0.0,26.2,8.4,17.3
348,1,15,1923,,7.54,0.0,26.2,8.5,17.35
349,1,16,1923,,6.05,0.0,21.6,10.5,16.05
350,1,17,1923,,5.66,0.0,21.5,9.8,15.65
351,1,18,1923,,5.05,0.0,20.5,9.5,15.0
352,1,19,1923,,5.08,0.0,22.0,7.0,14.5
353,1,20,1923,,9.01,0.0,29.8,7.5,18.65
354,1,21,1923,,5.78,0.0,23.6,6.7,15.15
355,1,22,1923,,6.25,0.0,23.4,8.8,16.1
356,1,23,1923,,6.97,0.0,25.3,8.1,16.7
357,1,24,1923,,6.92,0.0,25.2,8.1,16.65
358,1,25,1923,,8.45,0.0,26.1,10.8,18.45
359,1,26,1923,,7.8,0.0,26.6,8.7,17.65
360,1,27,1923,,8.17,0.0,26.6,9.7,18.15
361,1,28,1923,,7.97,0.0,26.6,9.2,17.9
362,1,29,1923,,8.34,0.0,27.1,9.5,18.3
363,1,30,1923,,8.15,0.0,26.4,9.9,18.15
364,1,31,1923,,8.7,0.0,26.5,10.9,18.7
365,2,1,1923,,7.95,0.0,26.0,9.9,17.95
366,2,2,1923,,9.25,0.0,28.1,10.4,19.25
367,2,3,1923,,11.25,0.0,28.8,13.7,21.25
368,2,4,1923,,10.2,0.0,26.6,13.8,20.2
369,2,5,1923,,7.5,17.9,23.0,12.0,17.5
370,2,6,1923,,6.95,4.9,22.7,11.2,16.95
371,2,7,1923,,6.31,0.0,24.6,6.9,15.75
372,2,8,1923,,6.57,0.0,23.4,9.7,16.55
373,2,9,1923,,7.75,1.7,26.3,9.0,17.65
374,2,10,1923,,7.66,0.0,25.9,9.3,17.6
375,2,11,1923,,8.77,0.0,28.7,8.5,18.6
376,2,12,1923,,8.8,0.0,27.2,10.4,18.8
377,2,13,1923,,8.7,0.0,26.8,10.6,18.7
378,2,14,1923,,8.52,0.0,27.3,9.7,18.5
379,2,15,1923,,8.65,0.0,26.2,11.1,18.65
380,2,16,1923,,7.65,0.0,24.7,10.6,17.65
381,2,17,1923,,8.4,0.0,26.1,10.7,18.4
382,2,18,1923,,7.95,20.1,24.8,11.1,17.95
383,2,19,1923,,4.73,0.0,19.8,9.6,14.7
384,2,20,1923,,5.8,9.0,23.3,7.4,15.35
385,2,21,1923,,5.76,0.0,23.0,7.8,15.4
386,2,22,1923,,5.07,0.0,20.9,9.0,14.95
387,2,23,1923,,7.12,0.0,25.3,8.6,16.95
388,2,24,1923,,7.14,0.0,25.4,8.5,16.95
389,2,25,1923,,8.11,0.0,26.4,9.8,18.1
390,2,26,1923,,9.95,0.0,29.7,10.2,19.95
391,2,27,1923,,8.15,0.0,25.0,11.3,18.15
392,2,28,1923,,8.65,0.0,27.4,9.9,18.65
393,3,1,1923,,9.05,0.0,26.2,11.9,19.05
394,3,2,1923,,8.75,0.0,26.5,11.0,18.75
395,3,3,1923,,8.85,0.0,27.3,10.4,18.85
396,3,4,1923,,10.95,0.0,28.9,13.0,20.95
397,3,5,1923,,9.95,0.0,30.0,9.9,19.95
398,3,6,1923,,11.74,0.0,31.7,12.2,21.95
399,3,7,1923,,11.79,0.0,32.9,11.6,22.25
400,3,8,1923,,10.98,0.0,31.2,11.0,21.1
401,3,9,1923,,11.81,0.0,32.1,12.1,22.1
402,3,10,1923,,10.76,0.0,32.2,9.9,21.05
403,3,11,1923,,12.43,0.0,34.1,12.3,23.2
404,3,12,1923,,13.12,0.0,31.7,15.0,23.35
405,3,13,1923,,12.97,0.0,32.4,14.3,23.35
406,3,14,1923,,9.45,0.0,28.4,10.5,19.45
407,3,15,1923,,10.52,0.0,30.5,10.6,20.55
408,3,16,1923,,10.7,0.0,28.3,13.1,20.7
409,3,17,1923,,10.0,0.0,30.2,9.8,20.0
410,3,18,1923,,9.3,0.0,30.1,8.0,19.05
411,3,19,1923,,10.84,0.0,31.1,10.8,20.95
412,3,20,1923,,11.95,0.0,29.8,14.1,21.95
413,3,21,1923,,5.22,0.0,23.3,4.6,13.95
414,3,22,1923,,9.75,0.0,28.5,11.0,19.75
415,3,23,1923,,10.45,0.0,28.9,12.0,20.45
416,3,24,1923,,11.54,0.0,30.7,12.5,21.6
417,3,25,1923,,10.25,0.0,28.0,12.5,20.25
418,3,26,1923,,11.22,0.0,31.2,11.5,21.35
419,3,27,1923,,10.0,7.0,27.8,12.2,20.0
420,3,28,1923,,9.35,0.0,28.7,10.0,19.35
421,3,29,1923,,10.65,0.0,27.8,13.5,20.65
422,3,30,1923,,10.7,0.0,28.8,12.6,20.7
423,3,31,1923,,11.28,0.0,30.3,12.3,21.3
424,4,1,1923,,11.17,0.0,31.2,11.4,21.3
425,4,2,1923,,10.71,0.0,31.9,10.0,20.95
426,4,3,1923,,11.62,0.0,32.3,11.6,21.95
427,4,4,1923,,12.26,0.0,32.3,12.9,22.6
428,4,5,1923,,12.14,0.0,33.9,11.8,22.85
429,4,6,1923,,12.64,0.0,34.6,12.5,23.55
430,4,7,1923,,13.58,0.0,35.0,14.3,24.65
431,4,8,1923,,14.16,0.0,35.1,15.5,25.3
432,4,9,1923,,14.66,0.0,36.6,16.0,26.3
433,4,10,1923,,14.54,0.0,35.9,16.0,25.95
434,4,11,1923,,14.14,0.0,36.5,14.9,25.7
435,4,12,1923,,13.77,0.0,35.0,14.7,24.85
436,4,13,1923,,13.66,0.0,34.0,14.9,24.45
437,4,14,1923,,12.42,0.0,32.9,12.9,22.9
438,4,15,1923,,11.44,0.0,33.6,10.5,22.05
439,4,16,1923,,12.74,0.0,33.0,13.5,23.25
440,4,17,1923,,12.55,0.0,32.3,13.5,22.9
441,4,18,1923,,13.35,0.0,33.5,14.5,24.0
442,4,19,1923,,12.74,0.0,34.0,13.0,23.5
443,4,20,1923,,13.04,0.0,33.2,14.0,23.6
444,4,21,1923,,13.2,0.0,34.3,13.8,24.05
445,4,22,1923,,13.8,0.0,31.2,16.7,23.95
446,4,23,1923,,14.14,0.0,34.5,15.7,25.1
447,4,24,1923,,13.04,0.0,33.6,13.8,23.7
448,4,25,1923,,13.32,0.0,32.4,15.0,23.7
449,4,26,1923,,13.84,0.0,36.4,14.3,25.35
450,4,27,1923,,15.77,0.0,36.5,18.5,27.5
451,4,28,1923,,14.93,0.0,36.9,16.5,26.7
452,4,29,1923,,15.03,0.0,38.2,16.3,27.25
453,4,30,1923,,15.69,0.0,38.2,17.8,28.0
454,5,1,1923,,15.6,0.0,38.5,17.5,28.0
455,5,2,1923,,15.52,0.0,38.2,17.4,27.8
